 기업명::경력,학력::근무지,근무형태::기업규모::평균연봉::분류코드
 피플워크(주) ::경력7~17년대졸이상::서울	정규직::중소기업::None::17111
 파워에이치알 ::경력3~15년대졸이상::경기 파주시	정규직::중소기업::None::17111
 주식회사 직방 ::경력8년↑학력무관::서울 종로구	정규직::중소기업::None::17111
 주식회사 카카오 ::경력3년↑학력무관::경기 성남시	정규직::대기업::5,898::17111
 (주)에이치알컨설팅그룹 ::경력3~11년초대졸이상::서울	정규직::중소기업::None::17111
 굿커리어 ::경력2~20년대졸이상::서울	정규직::중소기업::None::17111
 굿커리어 ::경력3년↑대졸이상::서울	정규직::중소기업::None::17111
 굿커리어 ::경력3년↑초대졸이상::서울	정규직::중소기업::None::17111
 굿커리어 ::경력3년↑대졸이상::서울 강남구	정규직::중소기업::None::17111
 굿커리어 ::경력4년↑대졸이상::서울	정규직::중소기업::None::17111
 현대자동차(주) ::경력3년↑대졸이상::서울 서초구	정규직::대기업::6,638::17111
 (주)섹타나인 ::경력4~10년대졸이상::서울 서초구 외	정규직::중견기업::5,446::17111
 (주)에이치시티 ::신입/경력1~3년초대졸이상::경기 이천시	정규직::중소기업::5,122::17111
 주식회사 테라젠바이오 ::경력2년↑대졸::경기 성남시	정규직::중소기업::4,278::17111
 디포커스(주) ::신입/경력(연차무관)학력무관::서울 성동구	정규직::중소기업::4,814::17111
 ㈜휴먼엔시스 ::신입초대졸이상::서울 외	정규직::중소기업::3,223::17111
 ㈜휴먼엔시스 ::경력3~8년초대졸이상::서울 외	정규직::중소기업::3,223::17111
 (주)티맥스소프트 ::경력(연차무관)대졸이상::경기 성남시	정규직::중견기업::5,223::17111
 (주)티맥스소프트 ::신입/경력(연차무관)대졸이상::경기 성남시	정규직::중견기업::5,223::17111
 (주)티맥스소프트 ::경력2년↑대졸이상::경기 성남시	정규직::중견기업::5,223::17111
 (주)중외정보기술 ::신입/경력(연차무관)초대졸이상::서울 금천구	정규직::중소기업::4,407::17111
 (주)티맥스소프트 ::신입/경력(연차무관)대졸이상::경기 성남시	정규직::중견기업::5,223::17111
 (주)오피지지 ::경력3년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 (주)오피지지 ::경력5년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 (주)오피지지 ::경력5년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 (주)이스트시큐리티 ::경력2~7년학력무관::서울 서초구	정규직::중소기업::4,850::17111
 (주)마이플래닛 ::신입/경력(연차무관)학력무관::경기 성남시 수정구 외	정규직	3,000~3,500만원::중소기업::3,301::17111
 커리어라임즈 ::경력8년↑대졸이상::서울 영등포구	정규직::중소기업::None::17111
 (주)씨엔씨네트웍스 ::경력3~20년대졸이상::서울 외	정규직::중소기업::4,094::17111
 라인비즈플러스(주) ::경력3년↑학력무관::경기 성남시 분당구 외	정규직::대기업::6,597::17111
